time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-03-02 00:00:00+00:00,20,10,0,0
2026-03-03 00:00:00+00:00,10,4,0,0
2026-03-04 00:00:00+00:00,18,8,0,0
2026-03-05 00:00:00+00:00,13,7,1,1
2026-03-06 00:00:00+00:00,15,5,0,0
2026-03-07 00:00:00+00:00,17,7,0,0
2026-03-08 00:00:00+00:00,7,5,0,0
2026-03-09 00:00:00+00:00,7,5,0,0
2026-03-10 00:00:00+00:00,1,1,0,0
2026-03-11 00:00:00+00:00,9,5,0,0
2026-03-12 00:00:00+00:00,9,3,0,0
2026-03-13 00:00:00+00:00,10,4,0,0
2026-03-14 00:00:00+00:00,5,3,0,0
2026-03-15 00:00:00+00:00,14,8,0,0
